query_id,input_text,retrieved_indices,retrieved_scores,method
111,노을이 참 아름다웠다.,"[6, 71, 163, 13, 78, 29, 94, 140, 142, 145, 160, 161, 162]","[169.0, 169.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
112,물고기 치고는 아주 작아요.,"[13, 78, 163, 160, 161, 162]","[169.0, 169.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
113,위쪽에 무언가가 있다.,"[2, 67, 27, 92, 59, 124, 7, 14, 72, 79, 160, 163, 4, 69, 46, 111, 132, 140, 142, 149]","[169.0, 169.0, 169.0, 169.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 74.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based
114,까치살무사는 살무사과의 뱀이다.,"[13, 78, 160, 163, 4, 69]","[99.0, 99.0, 82.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based
115,삼백 사십 번 고객님은 창구로 오세요.,"[163, 53, 118, 36, 101]","[82.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based
116,어이쿠~,"[160, 161, 162, 163]","[77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
117,가슴이 쳐져서 고민이다.,"[46, 111, 163, 7, 72, 141]","[82.0, 82.0, 82.0, 77.0, 77.0, 74.0]",method1_keyword_rule_based
118,타코야키를 먹었다.,"[163, 46, 111]","[77.0, 72.0, 72.0]",method1_keyword_rule_based
119,장갑 끼거나 빨래할 때는 안 건드려.,"[10, 75, 46, 111, 163]","[99.0, 99.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
120,나는 말티즈를 한 마리 키운다.,"[46, 111, 163, 7, 72, 13, 78, 14, 79, 21, 86, 23, 88, 28, 30, 93, 95, 160, 24, 89, 133, 5, 70, 22, 87]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
121,쥬스는 과일의 신선한 맛을 담고 있다.,"[160, 161, 162, 163, 14, 79]","[82.0, 82.0, 82.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based
122,수사자는 머리에 갈기가 있다.,"[7, 72, 2, 67, 12, 77, 42, 107, 11, 76, 163]","[99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 94.0, 94.0, 82.0]",method1_keyword_rule_based
123,황사가 심할 때에는 마스크를 쓰는 것이 좋다.,"[163, 14, 79, 56, 121, 13, 78]","[82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based
124,시험 잘 보고 와!,"[160, 163, 144, 137, 141, 25, 90, 41, 106, 58, 123, 59, 124]","[82.0, 82.0, 74.0, 74.0, 74.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
125,위반 내용(도로교통법 위반(음주 운전)),"[31, 96, 160, 46, 111, 163]","[89.0, 89.0, 82.0, 82.0, 82.0, 72.0]",method1_keyword_rule_based
126,그는 우의정이라는 높은 벼슬에도 올랐다고 합니다.,"[160, 161, 162, 11, 76, 30, 95, 45, 110, 163]","[137.0, 137.0, 137.0, 99.0, 99.0, 82.0, 82.0, 82.0, 82.0, 77.0]",method1_keyword_rule_based
127,이상한데서 고집을 부리네.,"[14, 79, 6, 71, 39, 104, 163, 23, 88, 7, 46, 72, 111, 160, 161, 162]","[99.0, 99.0, 94.0, 94.0, 94.0, 94.0, 82.0, 82.0, 82.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
128,매트리스를 교체했다.,"[46, 111, 166, 163, 14, 79, 59, 124, 23, 88, 160, 161, 162]","[169.0, 169.0, 93.0, 82.0, 82.0, 82.0, 74.0, 74.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
129,꼭 그렇다기 보다는 그냥 네가 해줬으면 좋겠다는 거지.,"[52, 117, 160, 161, 162, 22, 87, 14, 79, 7, 72, 10, 75, 13, 78, 163]","[101.0, 101.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
130,피로가 싹 풀리는 것처럼 너무 좋아요.,"[163, 23, 88, 25, 90, 35, 100, 60, 125]","[82.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
131,살구빛 파스텔을 흠뻑 갈아 넣은 듯하다.,"[163, 33, 56, 98, 121, 39, 104, 160, 161, 162, 140]","[82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0]",method1_keyword_rule_based
132,할아버지가 돌아가셔서 주말에 장례를 치렀다.,"[39, 104, 28, 93, 163, 148, 160, 161, 162, 7, 46, 72, 111, 18, 83]","[173.0, 173.0, 89.0, 89.0, 82.0, 78.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
133,그 점장이가 꿈 해몽을 참 잘하더라.,"[160, 161, 162, 30, 95, 45, 110, 3, 68, 56, 121, 145, 149]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based
134,얼마나 많은 거예요?,"[58, 123, 24, 89, 31, 96, 46, 111, 163, 6, 71, 14, 79, 16, 81, 145]","[91.0, 91.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 76.0]",method1_keyword_rule_based
135,표가 매진되어 윗돈을 주고서야 겨우 구할 수 있었다.,"[28, 93, 163, 13, 78, 160, 140, 59, 124, 148, 150]","[169.0, 169.0, 137.0, 82.0, 82.0, 82.0, 74.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
136,"각각의 몸돌에는 모서리 기둥을 조각하였으며, 지붕돌을 받치는 받침돌은 체감율에 따라 4단으로 처리하였다.","[18, 83, 5, 70, 163, 7, 46, 72, 111, 23, 88]","[82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
137,그가 나를 탐탁찮은 눈으로 바라보았다.,"[45, 110, 160, 161, 162, 30, 95, 46, 111, 163, 59, 124]","[169.0, 169.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0]",method1_keyword_rule_based
138,"처음 뵙겠습니다, 홍길동입니다.","[7, 72, 160, 161, 163]","[96.0, 96.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
139,"내가 지켜렸던 악담이, 너를 죽을지도 모를 위험 속으로 내몬 것이냐.","[46, 111, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 160, 163]","[137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0, 72.0]",method1_keyword_rule_based
140,변변찮은 음식이지만 많이 먹어라.,"[51, 116, 27, 92, 160, 163, 58, 123]","[99.0, 99.0, 99.0, 99.0, 77.0, 77.0, 76.0, 76.0]",method1_keyword_rule_based
141,"예를 들어서 빌 게이츠(Bill Gates), 마이크로소프트(Microsoft)와 같이 괄호 안에 영어를 넣어서 병기를 한다든지요?","[8, 73, 30, 95, 23, 88, 18, 83, 42, 107, 7, 46, 72, 111, 160, 14, 79, 140, 149, 148]","[137.0, 137.0, 99.0, 99.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
142,처음한 갈등 상황이 벌어지고 있다.,[],[],method1_keyword_rule_based
143,프랑스어로 'septembre'는 '셉탕브르'로 적는다.,"[173, 45, 110, 131, 160, 161, 162, 163, 14, 79, 59, 124]","[93.0, 82.0, 82.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
144,너는 '따위' 같은 게 아니야.,"[7, 72, 31, 96, 45, 110, 160, 152]","[137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
145,"그럼, 그럼! 실패는 성공의 어머니라는 말도 있잖아.","[23, 88, 59, 124, 160, 161, 162]","[99.0, 99.0, 89.0, 89.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
146,그는 동틀녘에 돌아왔다.,"[160, 161, 162, 28, 93, 30, 95, 45, 110, 14, 15, 79, 80, 18, 83, 163]","[137.0, 137.0, 137.0, 94.0, 94.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
147,이번 겨울은 너무 추웠어. 영희는 며칠 전 철수가 한 말을 떠올렸다.,"[142, 144, 153, 160, 161, 162, 163, 58, 123, 149]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based
148,아기가 오똑이를 갖고 놀고 있다.,"[44, 109, 160, 161, 162, 163, 20, 85, 13, 78, 25, 90]","[169.0, 169.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
149,후라이팬을 사야 한다.,"[163, 59, 124, 137, 148, 160, 161, 162]","[82.0, 74.0, 74.0, 74.0, 74.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
150,저희 며칠 전에 와셨지요?,"[39, 104, 10, 75, 14, 79, 23, 88]","[169.0, 169.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
151,커다란 구렁이가 또래를 틀고 있었다.,"[30, 95, 163, 160, 161, 162]","[77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
152,이틀 날 다시 전화가 왔다.,"[45, 110, 14, 79, 13, 78, 149, 160, 161, 162, 163, 39, 104, 42, 107, 137]","[137.0, 137.0, 94.0, 94.0, 89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
153,그 부부는 사사건건 부딪치더니 결국 이혼하고 말았다.,"[160, 161, 162, 30, 95, 45, 110, 163]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
154,말(馬)과 말(言) 가운데 어느 것이 장음이냐?,"[10, 75, 13, 78, 14, 79, 17, 82, 35, 100, 53, 118, 133, 54, 119, 58, 123]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
155,어린 시절부터 함께한 충청북도 충주는 내 고향이나 다름없다.,"[13, 78, 142, 160, 163]","[94.0, 94.0, 89.0, 82.0, 82.0]",method1_keyword_rule_based
156,"된장, 감자 등을 바르는 등의 잘못된 민간요법을 사용하면 안 되어요.","[13, 78, 14, 79, 163]","[99.0, 99.0, 94.0, 94.0, 82.0]",method1_keyword_rule_based
157,아침엔 달걀후라이와 빵을 먹습니다.,"[160, 161, 162, 163]","[82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
158,십월은 단풍 구경을 가기가 좋다.,[163],[82.0],method1_keyword_rule_based
159,우리는 야간 산행에 나섰다.,"[13, 78, 140, 145, 148, 23, 88, 163, 160, 161, 162, 15, 30, 80, 95]","[99.0, 99.0, 89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
160,당신의 품안에서 살아가도록 할게요.,"[14, 79, 7, 46, 72, 111, 160, 161, 162, 163]","[82.0, 82.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
161,자동차 원자재가 비싸져서 차값도 덩달아 오르다.,"[163, 7, 46, 72, 111]","[77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
162,귀한 손님이니 섭섭지 않게 대접해야 한다.,"[53, 118, 13, 78, 52, 117]","[97.0, 97.0, 92.0, 92.0, 87.0, 87.0]",method1_keyword_rule_based
163,바닥에 기름기가 있다.,"[27, 92, 59, 124, 163, 132, 140, 142, 149]","[169.0, 169.0, 89.0, 89.0, 82.0, 74.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based
164,그 역시 내가 이곳에 머물기를 바란다는 소리인 걸까?,"[160, 161, 162, 46, 111, 30, 95, 45, 110, 163, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 149]","[137.0, 137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
165,각자의 답을 정답과 맞춰 볼 것.,"[163, 10, 75, 53, 118, 59, 124, 141]","[82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
166,이거는 먼지 털이인데요.,"[24, 89, 31, 96, 160, 163, 6, 71, 14, 79, 16, 81, 161, 162]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based
167,낫또가 발효되어 점액질의 실이 끈적끈적 늘어지다.,"[28, 93, 163, 160, 140]","[169.0, 169.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
168,안 돼!,"[7, 72, 14, 79, 39, 104, 12, 77, 13, 78, 19, 84]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
169,아침으로 스크램블에그를 먹고 왔다.,"[27, 92, 160, 161, 162, 163]","[169.0, 169.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
170,집 앞 마트는 매달 두째 주 일요일이 휴무일이다.,"[13, 78, 26, 91, 42, 107, 63, 128, 39, 104, 160, 161, 162, 163]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
171,꼭 멸망 직전 같은 날씨다.,"[14, 79, 7, 72, 10, 75, 13, 78]","[77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
172,인간(100)- 남자(1001)- 아버지(10011),"[39, 104, 149, 15, 30, 80, 95, 163, 160, 161, 162]","[101.0, 101.0, 91.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
173,남원에 가면 광한루는 봐야지.,"[24, 89, 46, 111, 163, 149]","[171.0, 171.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
174,원하시는 일들 모두 이뤄지길 바랍니다.,"[163, 5, 70, 24, 89, 30, 95, 42, 107, 56, 121, 142, 149, 152, 154, 160]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0, 74.0, 74.0, 72.0]",method1_keyword_rule_based
175,태조의 두터운 신임을 받았던 대경 대사의 업적을 새겨 놓은 탑비예요.,"[163, 14, 79]","[82.0, 82.0, 82.0]",method1_keyword_rule_based
176,하노라고 했는데 네 마음에 들지 모르겠다.,"[163, 7, 8, 72, 73, 59, 124, 18, 83, 141, 145]","[137.0, 137.0, 137.0, 137.0, 137.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
177,"야. 그러면 돼, 안 돼?","[14, 79, 7, 72, 39, 104, 19, 84, 12, 77, 13, 78]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
178,미술관에 가면 전시 팜플릿이 있다.,"[163, 46, 111, 160, 149]","[82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
179,숙제 해야지. 우리.,"[13, 78, 140, 145, 148, 163, 160, 23, 88, 161, 162, 14, 46, 79, 111]","[99.0, 99.0, 89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
180,100m,[],[],method1_keyword_rule_based
181,박달나무 품에 안겨 담쟁이덩굴은 눈을 뜬다.,"[10, 75, 63, 128, 4, 69, 163, 46, 111, 156]","[173.0, 173.0, 82.0, 82.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
182,구독을 신청하면 달달이 잡지를 보내준다.,"[7, 72, 62, 127, 163, 14, 79, 149]","[94.0, 94.0, 94.0, 94.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
183,그 동안 잘 지내셨어요?,"[160, 161, 162, 30, 95, 45, 110, 152, 25, 90, 41, 106, 58, 123, 59, 124]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 74.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
184,훌륭한 리더가 되고 싶다.,"[23, 88, 163, 145]","[82.0, 82.0, 82.0, 76.0]",method1_keyword_rule_based
185,숫병아리는 쓸모가 없다는 이유로 버려진다.,"[19, 84, 163, 5, 70, 23, 88, 160, 161, 162]","[101.0, 101.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
186,2023년 3월 2일.,[],[],method1_keyword_rule_based
187,산꼭대기에 루각이 하나 보인다.,"[24, 89, 14, 79, 163, 46, 111]","[169.0, 169.0, 109.0, 109.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
188,희진이는 우리 반에서 독서왕이다.,"[13, 78, 140, 145, 148, 160, 161, 162, 163, 23, 88, 10, 75, 37, 102, 53, 118]","[99.0, 99.0, 89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
189,"부산의 자치구: 중구, 서구, 동구, 영도구, 부산진구, …","[163, 160]","[82.0, 77.0]",method1_keyword_rule_based
190,남존여비는 구닥다리 사상에 불과하다.,"[22, 87, 163, 25, 90, 10, 75]","[94.0, 94.0, 82.0, 82.0, 82.0, 72.0, 72.0]",method1_keyword_rule_based
191,얘는 어디로 갔는지 콧배기도 안 보인다.,"[131, 160, 163, 145, 152]","[89.0, 82.0, 77.0, 74.0, 74.0]",method1_keyword_rule_based
192,한 눈에 봐도 글씨가 잘 보인다.,"[10, 75, 47, 112, 163, 23, 88, 24, 89, 133, 14, 79, 2, 67, 5, 70, 22, 87]","[82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
193,"그렇다면 디저트가 빵과 아이스크림, 슬러시 따위를 포괄하는 단어가 될 수 있나요?","[52, 117, 160, 161, 162, 163]","[101.0, 101.0, 77.0, 77.0, 77.0, 72.0]",method1_keyword_rule_based
194,다 같이 있을 거야.,"[142, 149]","[74.0, 74.0]",method1_keyword_rule_based
195,"이번 행사 불참자(박성진(인천), 이서화(부산))에게는 추후 자료집을 우편으로 보내기로 했습니다.","[142, 144, 153, 160, 161, 162, 163]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
196,총비용에서 비료값은 제했다.,"[14, 79, 163, 26, 91, 42, 107, 59, 124, 22, 87]","[89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based
197,연인[戀人]에는 '서로 연애하는 관계에 있는 두 사람'이라는 뜻이 포함되어 있습니다.,"[7, 46, 72, 111, 163, 160, 140, 146]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0]",method1_keyword_rule_based
198,다시 만날 때까지 잘 지내.,"[13, 78, 149, 160, 163, 45, 110, 14, 79, 56, 121, 137]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
199,분명 여기 있었는데 온데 간데 없이 사라졌다.,"[53, 118, 30, 95, 163, 149, 39, 104, 145]","[99.0, 99.0, 82.0, 82.0, 82.0, 74.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based
200,쓸데없는 걱정할 시간에 잠이나 자.,"[39, 104, 61, 126, 155, 163, 33, 98, 59, 124]","[77.0, 77.0, 77.0, 77.0, 74.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
201,초팔일은 부처님 오신날을 달리 이르는 말이다.,"[163, 54, 119, 10, 75, 20, 85, 13, 78, 133]","[137.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
202,오늘은 휴일이 아니에요.,"[160, 161, 162, 163, 149]","[82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
203,측정 가능한가요?,"[46, 111, 163]","[72.0, 72.0, 72.0]",method1_keyword_rule_based
204,얇다른 빙판 위에서 스케이트를 타기가 영 불안했다.,"[28, 93, 163]","[82.0, 82.0, 82.0]",method1_keyword_rule_based
205,우정마을 행복학습관은 아파트 내 경노당을 학습관으로 재단장하여 주민들과 사할린 동포 어르신들과 함께 평생교육을 할 예정이다.,"[42, 107, 160, 161, 162, 163]","[94.0, 94.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
206,네가 말도 못하게 미웠어.,"[7, 8, 72, 73, 163, 52, 117, 18, 83, 141, 145, 10, 75, 13, 78, 14, 79, 17, 82]","[137.0, 137.0, 137.0, 137.0, 137.0, 94.0, 94.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
207,들었던 대로 정말 크긴 크다.,"[54, 119, 163, 7, 72, 58, 123, 141, 149]","[89.0, 89.0, 82.0, 77.0, 77.0, 74.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based
208,계속 흘끔대는 게 굉장히 신경 쓰인다.,"[163, 13, 78, 14, 79, 45, 110, 63, 128]","[137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
209,이 조례에 대하여 찬성하시는 의원님 계십니까?,"[160, 161, 162, 163, 5, 70, 14, 79]","[137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
210,음식점과 의류 회사의 컬래버레이션,"[22, 87, 163]","[89.0, 89.0, 82.0]",method1_keyword_rule_based
211,그의 열두째 생일이 곧 다가온다.,"[160, 161, 162, 30, 95, 45, 110, 14, 79, 34, 99, 149]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 72.0]",method1_keyword_rule_based
212,저기 커피숍이 새로 생겼다고 해요.,"[163, 30, 95, 142]","[82.0, 77.0, 77.0, 74.0]",method1_keyword_rule_based
213,놀고 있어~,"[27, 92, 6, 71, 163, 160]","[169.0, 169.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
214,화이트데이에는 사탕을 준다든데.,"[13, 78, 163, 7, 72, 160, 161, 162]","[99.0, 99.0, 82.0, 77.0, 77.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
215,이 공장은 설립된 지 10년도 넘었다.,"[160, 161, 162, 163, 5, 70, 14, 79]","[137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
216,옷걸이가 좋으니 대충 입어도 예뻐 보인다.,"[27, 92, 14, 79, 13, 78, 59, 124, 2, 39, 67, 104, 26, 91, 160, 161, 163]","[171.0, 171.0, 99.0, 99.0, 99.0, 99.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
217,어서 돌아가렴. 여긴 네가 있을 곳이 아니란다.,"[28, 93, 18, 83, 46, 111, 163, 160, 161, 162]","[99.0, 99.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
218,발표자를 맡으려면 말을 잘하던지 해야지.,"[163, 10, 75, 13, 78, 14, 79, 17, 82, 160]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0]",method1_keyword_rule_based
219,"스포츠에서는 협동 정신, 즉 서로 마음과 힘을 하나로 합하는 것이 필요하다.","[14, 79, 160, 161, 162, 163, 149, 148]","[82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 74.0, 74.0]",method1_keyword_rule_based
220,2022. 1. 3. ~ 2022. 3. 5.,[],[],method1_keyword_rule_based
221,내가 온 그 다음 주에 진수가 왔다.,"[46, 111, 160, 161, 162, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 0, 65, 4, 69, 30, 95, 45, 110, 149]","[137.0, 137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0]",method1_keyword_rule_based
222,이번 추석 연휴(9. 16.(월)~9. 18.(수))에는 기숙사가 휴관합니다.,"[142, 144, 153, 160, 161, 162, 163, 7, 72]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
223,논문 등재시 저작권료가 지급됩니다.,"[30, 95, 13, 78, 160, 163]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
224,김치의 수출 그래프가 상승하고 있는 것을 보아 하니 해외에서도 한국 식품에 관심을 가지게 된 것 같습니다.,"[168, 4, 69, 160, 163, 161, 162, 59, 124]","[91.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 74.0, 74.0]",method1_keyword_rule_based
225,"뒤에 절이 오니, 3.1절로 해야 하나요?","[64, 129, 3, 68, 160, 161, 163, 162, 5, 70, 56, 121, 13, 78, 36, 101]","[169.0, 169.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based
226,하루빨리 강의를 들을 걸.,"[7, 72, 14, 79, 30, 95, 31, 96, 149, 155]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0]",method1_keyword_rule_based
227,여기 사인 좀 해 주시겠어요?,"[163, 14, 79, 39, 104, 145, 149, 136, 150]","[82.0, 82.0, 82.0, 74.0, 74.0, 74.0, 74.0, 72.0, 72.0]",method1_keyword_rule_based
228,수강아지가 한 마리 더 있었으면 좋겠다.,"[19, 84, 14, 79, 133, 163, 23, 88, 160, 161, 162, 24, 89, 5, 70, 22, 87]","[101.0, 101.0, 96.0, 96.0, 89.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
